cell.instance,tumor.label
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-B11-S23-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-D04-S40-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-C02-S26-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-D01-S133-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-A09-S297-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H03-S183-comb,Mel79
cy79-p3-CD45-neg-PD1-pos-AS-C3-R1-E08-S344-comb,Mel79
cy79-p1-CD45-neg-PDL1-neg-AS-C4-R1-H05-S185-comb,Mel79
cy79-p1-CD45-neg-PDL1-pos-AS-C1-R1-F01-S61-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-E11-S1115-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-H11-S1151-comb,Mel79
cy79-p5-CD45-neg-PDL1-neg-F10-S838-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-A04-S676-comb,Mel79
cy81-FNA-CD45-neg-D04-S1000-comb,Mel81
cy80-CD45-neg-G01-S937-comb,Mel80
cy79-p5-CD45-neg-PDL1-neg-A02-S770-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-D01-S1093-comb,Mel79
cy81-Bulk-CD45-neg-A10-S106-comb,Mel81
cy79-p5-CD45-neg-PDL1-neg-C03-S795-comb,Mel79
cy81-FNA-CD45-neg-B01-S973-comb,Mel81
cy79-p5-CD45-neg-PDL1-pos-D05-S713-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-B02-S686-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-B08-S1076-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-C12-S1092-comb,Mel79
cy81-Bulk-CD45-neg-G01-S169-comb,Mel81
cy81-Bulk-CD45-neg-C03-S123-comb,Mel81
cy79-p4-CD45-neg-PDL1-neg-C03-S1083-comb,Mel79
cy81-FNA-CD45-neg-C09-S993-comb,Mel81
cy80-CD45-neg-G04-S940-comb,Mel80
cy80-CD45-neg-A09-S873-comb,Mel80
cy79-p4-CD45-neg-PDL1-pos-G08-S464-comb,Mel79
cy81-FNA-CD45-neg-F09-S1029-comb,Mel81
cy80-CD45-neg-D04-S904-comb,Mel80
cy79-p4-CD45-neg-PDL1-pos-A02-S386-comb,Mel79
cy80-CD45-neg-E02-S914-comb,Mel80
cy81-FNA-CD45-neg-E04-S1012-comb,Mel81
cy81-Bulk-CD45-neg-E04-S148-comb,Mel81
cy81-Bulk-CD45-neg-C11-S131-comb,Mel81
cy81-Bulk-CD45-neg-D09-S141-comb,Mel81
cy80-CD45-neg-G02-S938-comb,Mel80
cy79-p5-CD45-neg-PDL1-neg-E02-S818-comb,Mel79
cy81-FNA-CD45-neg-F08-S1028-comb,Mel81
cy79-p5-CD45-neg-PDL1-neg-D03-S807-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-F08-S1124-comb,Mel79
cy81-FNA-CD45-neg-G12-S1044-comb,Mel81
cy79-p5-CD45-neg-PDL1-pos-A11-S683-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-G11-S755-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-C10-S706-comb,Mel79
cy80-CD45-neg-H08-S956-comb,Mel80
cy79-p5-CD45-neg-PDL1-pos-H06-S762-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-F12-S1128-comb,Mel79
cy81-Bulk-CD45-neg-E02-S146-comb,Mel81
cy80-CD45-neg-A05-S869-comb,Mel80
cy79-p4-CD45-neg-PDL1-pos-D03-S423-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-A04-S388-comb,Mel79
cy79-p5-CD45-neg-PDL1-neg-C02-S794-comb,Mel79
cy80-CD45-neg-F05-S929-comb,Mel80
cy81-FNA-CD45-neg-F06-S1026-comb,Mel81
cy79-p4-CD45-neg-PDL1-pos-C02-S410-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-C11-S707-comb,Mel79
cy79-p5-CD45-neg-PDL1-pos-F09-S741-comb,Mel79
cy79-p4-CD45-neg-PDL1-pos-E10-S442-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-B04-S1072-comb,Mel79
cy79-p4-CD45-neg-PDL1-neg-H01-S1141-comb,Mel79
